location,Date,Temperature,Wind,Precipitation
Sakhir Bahrain,2022-03-20,21.4,18.5,0.0
Jeddah Saudi Arabia,2022-03-27,26.8,11.7,0.0
Melbourne Australia,2022-04-10,20.8,16.2,0.0
Imola Italy,2022-04-24,12.9,8.3,0.0
Miami USA,2022-05-08,26.8,10.8,0.6
Barcelona Spain,2022-05-22,26.3,9.0,0.0
Monte Carlo Monaco,2022-05-29,20.1,13.9,0.0
Baku Azerbaijan,2022-06-12,23.5,14.7,0.0
Montreal Canada,2022-06-19,15.9,13.3,0.0
Silverstone UK,2022-07-03,15.0,12.0,0.0
Spielberg Austria,2022-07-10,16.2,9.8,2.2
Le Castellet France,2022-07-24,27.0,16.4,0.0
Budapest Hungary,2022-07-31,18.7,14.7,15.0
Zandvoort Netherlands,2022-09-04,20.3,13.7,0.0
Monza Italy,2022-09-11,22.0,4.4,0.0
Suzuka Japan,2022-10-09,16.7,10.6,8.9
Austin USA,2022-10-23,23.7,22.3,0.0
Mexico City Mexico,2022-10-30,19.5,8.9,2.7
São Paulo Brazil,2022-11-13,21.7,11.7,0.0
Sakhir Bahrain,2023-03-05,25.5,8.3,0.0
Jeddah Saudi Arabia,2023-03-19,25.5,9.4,0.0
Melbourne Australia,2023-04-02,13.1,11.1,0.2
Baku Azerbaijan,2023-04-30,19.2,20.2,0.0
Miami USA,2023-05-07,25.2,21.8,1.2
Imola Italy,2023-05-21,18.8,8.3,0.0
Monte Carlo Monaco,2023-05-28,19.1,8.6,0.0
Barcelona Spain,2023-06-04,19.5,8.5,1.2
Montreal Canada,2023-06-18,16.0,7.8,0.0
Spielberg Austria,2023-07-02,17.5,6.0,0.4
Silverstone UK,2023-07-09,18.5,14.1,0.9
Budapest Hungary,2023-07-23,23.7,6.0,0.0
Zandvoort Netherlands,2023-08-27,15.9,26.9,8.9
Monza Italy,2023-09-03,23.2,4.7,0.0
Singapore,2023-09-17,29.3,11.2,5.2
Suzuka Japan,2023-09-24,23.5,18.1,0.0
Lusail Qatar,2023-10-08,33.0,11.8,0.0
Austin USA,2023-10-22,24.2,11.9,0.0
Mexico City Mexico,2023-10-29,18.5,9.5,0.0
São Paulo Brazil,2023-11-05,17.7,16.2,0.0
Sakhir Bahrain,2024-03-03,19.2,15.0,0.0
Jeddah Saudi Arabia,2024-03-10,26.8,10.6,0.0
Melbourne Australia,2024-03-24,12.1,14.0,0.0
Suzuka Japan,2024-04-07,17.7,12.1,0.0
Shanghai China,2024-04-21,17.2,10.4,0.6
Miami USA,2024-05-05,27.4,19.5,0.0
Imola Italy,2024-05-19,19.4,7.5,0.3
Monte Carlo Monaco,2024-05-26,17.1,5.3,0.0
Barcelona Spain,2024-06-09,21.7,8.1,3.5
Montreal Canada,2024-06-16,17.7,3.6,0.0
Spielberg Austria,2024-06-30,23.3,12.4,2.4
Silverstone UK,2024-07-07,13.3,15.9,2.7
Budapest Hungary,2024-07-21,25.4,5.2,0.0
